Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_Shoulder,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_mankle,L_mknee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_Shoulder,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,Sternum,l_IC,r.ASIS,r.PSIS,r_5meta,r_IC,r_ankle,r_calc,r_knee,r_mankle,r_mknee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
1188,0.0755671,0.0253565,0.0299136,0.000502122,0.00966356,0.00057352,0.00094763,0.00871227,0.0265121,0.00677282,0.00595407,0.0195018,0.0114325,0.0010753,0.000224153,0.000330601,0.000826158,0.00258005,0.00154424,0.00243162,0.00127614,0.00103016,0.0120686,0.0163417,0.00830432,0.019105,0.0167981,0.00409848,0.00214529,0.0313266,0.0117437,0.0107456,0.00227959,0.0166816,0.0224365,0.000962605,0.00287031,0.0241634,0.00899295,0.0236837,0.00531215,0.00037454,0.000277373,0.00121339,0.00208638,0.000470733,0.00252328,0.00106846,0.00132922,0.00210704,0.00162826,0.00107352
1189,0.0755414,0.0253319,0.0299309,0.00051087,0.00964173,0.00058647,0.00101389,0.00873054,0.0264976,0.0067439,0.00596692,0.019582,0.011412,0.0010497,0.000184025,0.000330236,0.000850818,0.00259022,0.00153089,0.00242934,0.00123896,0.00106397,0.0120366,0.0165263,0.00828354,0.0190593,0.0166432,0.00412339,0.00212686,0.0312624,0.0117548,0.0107274,0.00226137,0.0166678,0.0224608,0.00107302,0.0028385,0.0241354,0.00906641,0.0237093,0.00538563,0.000349768,0.000266669,0.00122706,0.00211462,0.000475921,0.00250153,0.00121109,0.00132419,0.00211445,0.00161674,0.0010797
1190,0.0755211,0.0253283,0.0299413,0.000517646,0.00961546,0.000621582,0.0010835,0.00873572,0.026488,0.00672623,0.00597666,0.01956,0.0113591,0.00102182,0.000147243,0.000305538,0.000870751,0.00257862,0.00153351,0.00244311,0.00120309,0.000921667,0.0120185,0.0167361,0.00828113,0.0190342,0.0166008,0.00413077,0.00210448,0.0312099,0.0117503,0.0107069,0.0022483,0.0166646,0.0224659,0.00116652,0.00282837,0.0241021,0.00910871,0.0237294,0.00547687,0.000324142,0.000290582,0.00124424,0.00212779,0.000476021,0.00249431,0.00155666,0.00133247,0.00212869,0.0016194,0.00099988
1191,0.0755141,0.0253303,0.0299486,0.000568464,0.00960746,0.000630172,0.00111862,0.00873939,0.0264853,0.00669301,0.00597845,0.0195677,0.0113696,0.00100503,0.000117022,0.000299545,0.000869254,0.00256458,0.00153186,0.00245878,0.00119106,0.000985993,0.0120259,0.0168382,0.00828275,0.0190259,0.0166007,0.00413265,0.00208633,0.03118,0.0117316,0.0106703,0.00224852,0.0166579,0.0224627,0.00113793,0.00284316,0.0240906,0.00909806,0.0237612,0.00556109,0.000313394,0.000392064,0.00126616,0.00209773,0.000478014,0.00258002,0.00167905,0.00135167,0.00216679,0.00163947,0.00105601
1192,0.0755244,0.0253118,0.0299505,0.000626379,0.00961194,0.000640166,0.00113902,0.00874559,0.0264756,0.00668813,0.00596053,0.0196235,0.0114427,0.000986503,9.60697e-05,0.000340384,0.000863707,0.00256674,0.00156351,0.00246382,0.00119972,0.000919754,0.0120594,0.0168068,0.00821946,0.0190254,0.0166141,0.00415183,0.00207172,0.0311682,0.0116875,0.0106438,0.00225786,0.0166622,0.0224525,0.00106756,0.00287114,0.0241057,0.0090919,0.0237708,0.00565041,0.000301885,0.000531066,0.00129305,0.00211151,0.00048348,0.00271389,0.00154535,0.00138185,0.00220236,0.00165721,0.00129046
1193,0.0755052,0.0252977,0.0299435,0.0006315,0.00958463,0.00064329,0.00115222,0.00875566,0.026474,0.00669677,0.00595221,0.0196253,0.0114691,0.000958847,9.7606e-05,0.000369358,0.000857601,0.00258209,0.0015931,0.00248065,0.00120311,0.00132118,0.0120985,0.016681,0.00822166,0.0190318,0.0166021,0.00416961,0.00205657,0.031174,0.011653,0.010629,0.00230006,0.016653,0.0224416,0.000886515,0.00289804,0.0241266,0.00907363,0.0237436,0.00573273,0.000280092,0.000433774,0.00131981,0.00213712,0.000483182,0.002622,0.00134973,0.00141046,0.00222908,0.00162048,0.00127801
1194,0.0754735,0.025305,0.0299176,0.000531953,0.00933715,0.000634737,0.00115501,0.00875403,0.026475,0.0067266,0.00595663,0.0196738,0.0114748,0.000915818,0.000109398,0.000191058,0.000866965,0.00260875,0.00160254,0.00250091,0.00120557,0.00180833,0.0121175,0.016611,0.00821566,0.019037,0.0165669,0.00416251,0.00204641,0.0312055,0.0116454,0.0106176,0.00234366,0.0166427,0.0224056,0.000728482,0.00292269,0.0241352,0.0090397,0.02372,0.00583146,0.000262408,0.000368749,0.00134527,0.00216636,0.000477334,0.00256672,0.00155436,0.00142384,0.00225251,0.0015554,0.00123738
1195,0.0754828,0.02533,0.0298756,0.000395702,0.00878987,0.000606807,0.00113277,0.00874888,0.0264795,0.00675919,0.00594232,0.0196432,0.0115206,0.000862112,0.000122542,0.000182586,0.000899734,0.00264575,0.00160692,0.00248885,0.00120728,0.00203224,0.0121322,0.0165821,0.00817642,0.0190501,0.0165258,0.00412662,0.00203217,0.0312411,0.0116335,0.0106029,0.00234926,0.0166207,0.0223833,0.000642607,0.0029434,0.024133,0.00900938,0.0237092,0.00593945,0.000266077,0.000365519,0.00136172,0.00217828,0.000475185,0.00258925,0.0017425,0.00142489,0.00224851,0.00158312,0.00128094
1196,0.0754757,0.0253289,0.0298498,0.000267563,0.00860442,0.000587294,0.00108879,0.00873945,0.0265033,0.00675964,0.00592973,0.0195085,0.0116237,0.00082631,0.000133109,0.000385447,0.000936075,0.00265314,0.00160312,0.00246426,0.00120816,0.00211648,0.012141,0.0165697,0.00816252,0.0190635,0.0166247,0.0041081,0.00202114,0.0312878,0.0116157,0.0106001,0.00230716,0.0166124,0.0223808,0.000614571,0.00294668,0.0241248,0.00898583,0.023699,0.0060501,0.000272027,0.000360983,0.00138116,0.00217307,0.000467666,0.00261091,0.00177096,0.00142454,0.0022273,0.0016142,0.00131345
1197,0.0754369,0.0253619,0.0298128,0.000250015,0.00864207,0.000545316,0.00102989,0.00872555,0.0265346,0.00677216,0.00595093,0.0194307,0.011716,0.000805246,0.000154875,0.000390782,0.00094658,0.00265142,0.00159136,0.00242818,0.00119723,0.0015315,0.012126,0.0165826,0.00815491,0.0190728,0.016914,0.00408444,0.00200877,0.0313377,0.0116027,0.0105987,0.00230661,0.0165945,0.0223784,0.000661476,0.00296284,0.0241267,0.00894599,0.0236583,0.00614102,0.000265743,0.000349429,0.0013958,0.00219075,0.000461631,0.002608,0.00159608,0.00142414,0.00221416,0.00159723,0.00128489
1198,0.0754516,0.0254297,0.0297559,0.000278457,0.00873388,0.000513551,0.000959434,0.00871255,0.0265624,0.00678561,0.00598529,0.0195519,0.0117919,0.000805962,0.000200162,0.000176211,0.000958965,0.00264293,0.0015837,0.00239518,0.00121193,0.000356672,0.0120764,0.0166292,0.00818097,0.0190757,0.0170536,0.00405534,0.00199792,0.0313621,0.0116146,0.0106191,0.0023476,0.0165761,0.0223584,0.00078026,0.00298076,0.0241207,0.00889939,0.0236132,0.00623693,0.000249399,0.000336779,0.00140024,0.00223467,0.000453212,0.00260817,0.00123488,0.00140103,0.00221382,0.00160657,0.00122195
1199,0.0755011,0.0254734,0.0297691,0.000395424,0.00890094,0.000503518,0.000906417,0.00870381,0.0266013,0.00678803,0.006049,0.0195762,0.0118971,0.000816959,0.000253142,0.000166253,0.000978557,0.00263255,0.0015426,0.00236379,0.0012027,0.000755155,0.0120166,0.0166973,0.00823901,0.0190822,0.0170591,0.00403283,0.00198444,0.0313706,0.0116389,0.010661,0.0024033,0.0165529,0.0223443,0.000920703,0.00299641,0.0241062,0.0088917,0.0235929,0.00633853,0.000246031,0.000337115,0.0013969,0.00222082,0.000451201,0.00260615,0.00113223,0.00137457,0.00220893,0.00162338,0.00120411
1200,0.0755593,0.0255235,0.0297796,0.000497857,0.00915196,0.000522587,0.000849611,0.00869728,0.0266466,0.0067841,0.0061088,0.0195557,0.0120741,0.000822229,0.00029145,0.000285476,0.000983472,0.00261923,0.00149033,0.00233536,0.00116575,0.000703022,0.0119647,0.0167853,0.0083059,0.0190845,0.0169288,0.00402084,0.00195796,0.0313561,0.0116589,0.0107039,0.00248452,0.0165422,0.0223473,0.00114867,0.0030144,0.0241145,0.00890905,0.0235984,0.00645138,0.000258186,0.000342705,0.00138195,0.00220117,0.000449558,0.00262051,0.00127301,0.00135404,0.00219047,0.00155545,0.00112795
1201,0.0756129,0.0255719,0.0297656,0.000553423,0.00929081,0.000567315,0.000822576,0.00869445,0.0266845,0.00678486,0.00615915,0.0194665,0.0122556,0.000837455,0.000334435,0.000313511,0.000961001,0.00257252,0.00144661,0.00230829,0.00113429,0.000619413,0.0119171,0.0168915,0.00837488,0.0190795,0.016653,0.00400984,0.0019348,0.031309,0.0116828,0.0107495,0.00258213,0.0165444,0.0223688,0.00131252,0.00300961,0.0241146,0.00890715,0.0235808,0.0065538,0.000280342,0.000339855,0.00138749,0.00219183,0.000443611,0.00262994,0.00146764,0.0013294,0.0021918,0.00144611,0.0010242
1202,0.0756825,0.0256109,0.0297345,0.000546505,0.00937679,0.000603285,0.000793876,0.00869315,0.0266972,0.00675227,0.00620367,0.0194359,0.0123752,0.000860413,0.000366748,0.00020905,0.000947396,0.00252829,0.00141795,0.00229769,0.00111552,0.000612324,0.0118555,0.0170028,0.00843611,0.0190537,0.0165297,0.0039952,0.00189438,0.0312523,0.0117286,0.0107994,0.00261841,0.0165373,0.022384,0.00135663,0.00301282,0.0240935,0.00889946,0.0235448,0.00666794,0.000331004,0.000337296,0.0014057,0.00219631,0.000435768,0.00262758,0.00126534,0.00130786,0.00219054,0.00142131,0.00105951
1203,0.0757566,0.0256456,0.0297184,0.000575484,0.00950327,0.00063288,0.000780934,0.00869552,0.0267078,0.00671362,0.00624965,0.019448,0.0124702,0.000880072,0.000393763,0.000209113,0.000976597,0.0024915,0.00139856,0.00230453,0.00112682,0.000518879,0.0117907,0.0171159,0.00844766,0.0190341,0.0165121,0.00397212,0.00185545,0.031201,0.0117737,0.0108591,0.00259079,0.0165362,0.0223864,0.0013603,0.00301455,0.0240754,0.00886864,0.0235071,0.00675994,0.00039492,0.000342772,0.0014274,0.00217927,0.000415118,0.00261532,0.00111005,0.0013176,0.00217461,0.00142234,0.00110546
1204,0.075834,0.0256811,0.0297246,0.000652493,0.00972653,0.000649224,0.000760331,0.00870695,0.0267177,0.00669381,0.00631113,0.0194527,0.0125906,0.000887945,0.000423086,0.000450338,0.000981605,0.00247847,0.00141405,0.00230341,0.00114585,0.000379187,0.0117443,0.0172109,0.00841826,0.019035,0.0165237,0.00394279,0.00182586,0.031176,0.0117912,0.0109108,0.00259415,0.0165375,0.0223857,0.00131477,0.00301985,0.0240731,0.00882421,0.0234874,0.00686631,0.000459287,0.000344927,0.00142282,0.00217239,0.000393481,0.00261735,0.00108658,0.00132283,0.00216361,0.00143747,0.00129053
1205,0.0758887,0.0256983,0.0297324,0.000694195,0.0101716,0.000650342,0.000759663,0.00872127,0.0267221,0.00669578,0.00638047,0.0194572,0.0127051,0.000906292,0.000457717,0.000591293,0.00097032,0.00248611,0.00141799,0.0023016,0.00116649,0.000409065,0.0117035,0.0172644,0.00842787,0.0190592,0.0165391,0.0039251,0.00183442,0.0311779,0.0117733,0.0109433,0.00255509,0.0165384,0.0223724,0.00123221,0.00302346,0.0240794,0.00877235,0.0234748,0.00696116,0.000528767,0.000356605,0.00135632,0.00216493,0.000390871,0.00261098,0.00112338,0.00131789,0.00214372,0.00138203,0.00133463
1206,0.0759402,0.0257323,0.0297344,0.000703163,0.0101192,0.000645045,0.000767022,0.00874723,0.0267221,0.00672094,0.00641518,0.019456,0.0127961,0.000922372,0.000475565,0.000483864,0.00100785,0.00249414,0.00143621,0.00231785,0.00116167,0.000406134,0.0116728,0.0172595,0.00848727,0.0190715,0.0165502,0.00390546,0.001846,0.0312067,0.0117383,0.0109694,0.00252935,0.0165546,0.0223667,0.00108606,0.00303507,0.0240689,0.00872363,0.0234754,0.00706695,0.000591426,0.000368494,0.00128955,0.00218294,0.000400288,0.00260217,0.00126164,0.00131048,0.00213889,0.00136733,0.00134188
1207,0.0759634,0.0257384,0.0297409,0.000685896,0.00959182,0.000638894,0.000796039,0.00877427,0.0267285,0.00673806,0.00641153,0.0194764,0.0128614,0.000935547,0.000472248,0.000255294,0.001048,0.00248911,0.00150043,0.00231721,0.00115158,0.000393796,0.011661,0.0172624,0.00856558,0.0190773,0.0165486,0.00388041,0.00184792,0.0312551,0.0116844,0.0109908,0.00250625,0.0165574,0.0223812,0.000921542,0.00303979,0.0240548,0.00870333,0.0234894,0.00716009,0.00065329,0.000375958,0.00138242,0.00221123,0.000397467,0.00259418,0.00142431,0.0013041,0.00215055,0.00136794,0.00136405
1208,0.0759892,0.0257347,0.0297624,0.000673759,0.00951109,0.000629026,0.000812139,0.00879046,0.0267251,0.00673089,0.00643002,0.0195161,0.0129326,0.000956336,0.000487443,0.000251818,0.00107378,0.00247391,0.00157576,0.0023109,0.00116451,0.00039535,0.0116484,0.0174457,0.00854487,0.0190774,0.0165102,0.00383933,0.00185688,0.0313319,0.0116186,0.0109999,0.00248916,0.0165712,0.0224173,0.000769537,0.00303154,0.0240149,0.00869901,0.0234959,0.00726372,0.000695311,0.000379006,0.00145314,0.00226816,0.000386666,0.00259668,0.00122318,0.00130956,0.00214978,0.00142561,0.0013528
1209,0.0760128,0.0257494,0.0297852,0.000660897,0.00956044,0.000638354,0.000818482,0.00879525,0.0267034,0.00669638,0.00647078,0.0195735,0.0129859,0.000987404,0.000495839,0.00044251,0.00112506,0.00247111,0.00165051,0.00229297,0.00118643,0.00041117,0.0116593,0.0175438,0.00855209,0.0190812,0.0164727,0.00380585,0.00189403,0.031404,0.0115542,0.0110023,0.00245625,0.0165752,0.0224462,0.000660511,0.00302207,0.024054,0.00868421,0.0235033,0.00735063,0.000746631,0.000386504,0.00146422,0.00226644,0.000380573,0.00263258,0.00116849,0.00130853,0.00215699,0.00143333,0.00127893
1210,0.0760589,0.0257722,0.0298122,0.000701504,0.00961738,0.000661034,0.000815821,0.00881223,0.0266724,0.0066754,0.0064792,0.0195656,0.0130503,0.00102849,0.000506657,0.000456664,0.00119123,0.00246934,0.00170421,0.00226663,0.00117121,0.000449517,0.0116742,0.0175181,0.00853849,0.0190949,0.0165675,0.00378389,0.00194166,0.0314639,0.0114808,0.0110041,0.00242534,0.0165701,0.0224719,0.000674045,0.00302375,0.0240664,0.00867522,0.0235128,0.00744331,0.000798952,0.000397821,0.0014838,0.00227572,0.000390964,0.00264504,0.0014443,0.00130769,0.00214867,0.00139226,0.00132014
1211,0.0761236,0.0257636,0.0298327,0.000713203,0.00980753,0.000664937,0.00082216,0.00883363,0.026674,0.00666129,0.00650778,0.0196369,0.0131181,0.00106164,0.000512282,0.000305608,0.00121593,0.00247588,0.00173299,0.00226053,0.00116091,0.000485584,0.0116764,0.0174115,0.00850572,0.0191071,0.0168815,0.00377705,0.00193689,0.0315228,0.0114004,0.0109889,0.00239873,0.0165574,0.0224989,0.000818133,0.00303182,0.0240363,0.00867697,0.0235235,0.00753631,0.000852003,0.000419939,0.00150427,0.00227479,0.000407256,0.00258912,0.00166505,0.00130224,0.00213615,0.0013874,0.00138815
1212,0.0761573,0.025747,0.0298431,0.000723021,0.0102338,0.000685221,0.000834607,0.00886092,0.0267129,0.00662243,0.00653541,0.0196732,0.0131904,0.00110484,0.000508803,0.00029448,0.00121688,0.00244098,0.0017221,0.0022133,0.00116691,0.000537245,0.0116543,0.0173974,0.00850319,0.0191039,0.0170178,0.00375925,0.0019372,0.0315896,0.0113246,0.0109932,0.00239644,0.0165496,0.0225087,0.000987209,0.00302526,0.0240313,0.00870296,0.0235517,0.00762893,0.000878177,0.000451002,0.00152183,0.00229907,0.000399576,0.0025435,0.00140957,0.00131114,0.00214805,0.00135955,0.00137858
1213,0.0761651,0.0257312,0.0298526,0.000705163,0.010404,0.000704623,0.000861437,0.00888806,0.0267065,0.00657655,0.00652159,0.0196742,0.0132741,0.00117085,0.000530035,0.000484671,0.00122167,0.00239429,0.00168947,0.00212745,0.00118077,0.000567814,0.0116207,0.0174352,0.00852954,0.0191051,0.0169038,0.00374171,0.00192968,0.0316407,0.0112653,0.0109975,0.00240308,0.0165595,0.0225165,0.00116906,0.00302007,0.0240576,0.00872678,0.0235777,0.00768982,0.000901942,0.000476116,0.00152987,0.00230592,0.000370908,0.00256981,0.00109592,0.00132154,0.00215579,0.00137742,0.00133068
1214,0.0761605,0.0257266,0.0298674,0.000660099,0.0103779,0.000732761,0.000894257,0.00891327,0.0266642,0.00656165,0.00650873,0.0197455,0.0133203,0.00124846,0.000559012,0.000671189,0.0012019,0.00233414,0.0016357,0.00217293,0.00117746,0.000605324,0.0115994,0.0174844,0.00853817,0.0190932,0.0166179,0.00373431,0.00193641,0.03166,0.0112285,0.0109849,0.00243112,0.0165669,0.0225267,0.00132379,0.00301237,0.0240579,0.00876437,0.0236086,0.00773501,0.00093057,0.000483679,0.00152929,0.00232568,0.00035488,0.00266139,0.00108678,0.00131665,0.00216919,0.00137031,0.00132799
1215,0.0761519,0.0257339,0.02988,0.00061307,0.0103362,0.00074106,0.000931022,0.00893857,0.026614,0.00652545,0.00649908,0.0197531,0.0133621,0.00131868,0.000577645,0.000604045,0.00118451,0.00226749,0.00158028,0.00218578,0.00116777,0.000642506,0.0115753,0.0175459,0.00852999,0.0190791,0.0164972,0.0037319,0.0019391,0.0316591,0.0112105,0.0109781,0.00248449,0.0165785,0.0225607,0.00144434,0.00300179,0.0240512,0.00880517,0.0236333,0.00779332,0.000965517,0.000488776,0.0014599,0.00231222,0.000355475,0.00262157,0.00128629,0.0013026,0.00218844,0.00138716,0.0013811
1216,0.0761496,0.0257304,0.029886,0.000573843,0.0103089,0.000767405,0.000966973,0.00896414,0.0265727,0.00649233,0.00649532,0.0197571,0.0134346,0.00138115,0.000584984,0.000346014,0.00117475,0.00219956,0.00152566,0.00215487,0.00114506,0.00065514,0.0115638,0.0176196,0.00851587,0.0190673,0.0164846,0.0036863,0.00193062,0.0316593,0.0111871,0.0109962,0.00250479,0.0165783,0.0225855,0.0015753,0.00298722,0.0240586,0.00882782,0.0236631,0.00785688,0.00100608,0.000497539,0.0013796,0.00234165,0.000354698,0.00261654,0.00134962,0.00130598,0.00221156,0.00138622,0.00139872
1217,0.0761615,0.0257382,0.0298859,0.000569743,0.0102945,0.000805367,0.000991206,0.0089907,0.0265435,0.00645089,0.00649422,0.0197917,0.0135014,0.0014422,0.000572778,0.000265177,0.00113504,0.00217857,0.00146797,0.00211203,0.00112717,0.000748444,0.0115795,0.0177023,0.00851666,0.0190504,0.0164886,0.00361273,0.00191486,0.0316853,0.0111696,0.0110069,0.00254328,0.01657,0.0226055,0.00159645,0.00296294,0.0240698,0.00883089,0.0237008,0.00790324,0.00104551,0.000501297,0.00149016,0.0023946,0.000335115,0.00260224,0.00115023,0.00132551,0.00223762,0.00143123,0.00140908
1218,0.0762218,0.0257397,0.0298889,0.000599331,0.0102929,0.000843914,0.00100318,0.00900257,0.0265219,0.00642424,0.00649882,0.0198131,0.0135259,0.00150308,0.000572704,0.000297511,0.00109605,0.00215633,0.00144414,0.00207535,0.00112303,0.000775128,0.0115849,0.0177628,0.00852712,0.0190431,0.0164956,0.00356299,0.00191354,0.0317244,0.0111495,0.0110169,0.00261884,0.0165767,0.022625,0.00149599,0.00293948,0.0240706,0.00881968,0.0237213,0.0079516,0.00108265,0.00049836,0.00148336,0.00241466,0.000312374,0.00254572,0.00115222,0.00135751,0.00226132,0.0014735,0.00141044
1219,0.0763641,0.0256439,0.0298747,0.000642171,0.0102968,0.000849115,0.00101227,0.00899783,0.0265163,0.00639382,0.00651307,0.0198036,0.0135489,0.00155383,0.000563649,0.000521425,0.00107369,0.0021131,0.00141769,0.00208173,0.00112584,0.000666663,0.0115737,0.0177744,0.00853676,0.0190427,0.0164871,0.00354343,0.00193336,0.0317663,0.0111285,0.0110101,0.00267085,0.0165793,0.0226342,0.00133861,0.00293507,0.0240693,0.00880292,0.0237212,0.00801736,0.0011324,0.000488561,0.00134933,0.00242968,0.000284947,0.00255972,0.0011328,0.00138345,0.00230542,0.00150841,0.0014334
1220,0.0764344,0.0254093,0.0298616,0.000691032,0.0103145,0.000864685,0.00102091,0.0090053,0.0265211,0.00639485,0.00651274,0.0197937,0.013596,0.0016019,0.000559857,0.000680662,0.00105846,0.00209593,0.00140569,0.00210343,0.0011143,0.000613992,0.0115619,0.0177197,0.00855829,0.0190473,0.0164952,0.00353365,0.00196575,0.0318189,0.0111082,0.0110299,0.00267132,0.0165633,0.0226132,0.00114986,0.0029582,0.0240934,0.00877738,0.023719,0.00809686,0.00117555,0.000486434,0.00134864,0.00241027,0.000263485,0.00262454,0.00122275,0.00140719,0.00232586,0.0015894,0.00153433
1221,0.076455,0.0253606,0.0298502,0.000732235,0.0103401,0.000870361,0.00101775,0.00901003,0.0265412,0.00641321,0.00647953,0.0197621,0.0136855,0.00163882,0.000569931,0.000692817,0.00105606,0.00209726,0.00141821,0.00209567,0.00110425,0.000586947,0.01157,0.0177046,0.00859392,0.0190572,0.0165959,0.00351971,0.00199234,0.0318766,0.0110912,0.0110525,0.00271307,0.0165362,0.0226113,0.00100706,0.00297738,0.0241134,0.00876191,0.0237109,0.00817611,0.0011892,0.00047575,0.00141899,0.00240117,0.000243322,0.00261408,0.00110603,0.00144123,0.00233598,0.00161971,0.00166811
1222,0.0764715,0.0254416,0.0298449,0.000768872,0.0103887,0.00088195,0.00100385,0.00900552,0.0265447,0.00643434,0.00645713,0.0197347,0.0137849,0.00166035,0.000574738,0.000538724,0.00107749,0.00210722,0.00146602,0.00207444,0.00108302,0.000632802,0.0115728,0.0177223,0.00865105,0.0190679,0.0168449,0.00351052,0.00197795,0.0319188,0.011094,0.0110881,0.00273229,0.0165033,0.0226081,0.000934317,0.00300499,0.0241308,0.00876482,0.0237017,0.00827494,0.00119206,0.000462824,0.00135037,0.00241241,0.000228774,0.00259263,0.00104534,0.00146233,0.00234963,0.00158999,0.00164186
1223,0.0764265,0.0255131,0.0298401,0.00078861,0.0104538,0.000870341,0.000986023,0.00899944,0.0265025,0.00644516,0.00647252,0.0197122,0.0138853,0.00166,0.000561648,0.000370647,0.00108541,0.0021497,0.00152578,0.00207594,0.00108115,0.000670557,0.0115522,0.0177306,0.00873823,0.0190696,0.0169646,0.00351816,0.0019604,0.0319263,0.0111278,0.0111362,0.00276925,0.0164831,0.0225961,0.000932605,0.00303997,0.0241524,0.00876975,0.0236889,0.00836157,0.00118801,0.000451406,0.00132774,0.00238806,0.000202563,0.00258113,0.00104955,0.00146848,0.00236252,0.00160298,0.00156808
1224,0.076458,0.025552,0.0298315,0.000801497,0.0105308,0.000873187,0.000955501,0.00899515,0.0265157,0.00648058,0.00650547,0.0196713,0.0139966,0.00164451,0.00055748,0.000525833,0.00110124,0.00220338,0.00158034,0.00211108,0.00108781,0.00071524,0.0115259,0.017728,0.00878845,0.0190766,0.0169783,0.00353946,0.00195302,0.0318805,0.0111984,0.0111964,0.00279087,0.0164889,0.0225673,0.00100256,0.00307025,0.0241564,0.00879089,0.0236761,0.00847149,0.00117422,0.000433238,0.00133463,0.00235077,0.000190462,0.00257579,0.00111901,0.00147403,0.00234616,0.00160626,0.00154397
1225,0.0765061,0.0255952,0.0298122,0.000756354,0.0106316,0.000854333,0.000932192,0.00898225,0.0265759,0.00653229,0.00655818,0.019658,0.0140978,0.00161352,0.000559233,0.00071018,0.0011091,0.00222712,0.001653,0.00215079,0.00112164,0.000763424,0.0115136,0.0177233,0.00885787,0.0190781,0.0168501,0.00357402,0.00195003,0.031754,0.0112686,0.0112692,0.00280725,0.0165044,0.0225443,0.00114372,0.00308969,0.0241495,0.0088201,0.0236646,0.00854735,0.00114894,0.000415694,0.00120608,0.00230012,0.000176897,0.00256321,0.00132465,0.00147108,0.00232439,0.00160074,0.00151329
1226,0.0765626,0.0256519,0.029786,0.000719056,0.0106605,0.000828629,0.000914521,0.00896573,0.0266275,0.00657591,0.00663111,0.0196487,0.0142063,0.00157981,0.000566104,0.000751905,0.00112434,0.00225409,0.0017428,0.00219118,0.00119978,0.000752151,0.0115291,0.0177817,0.00895192,0.0190611,0.0165574,0.0036183,0.00193358,0.0315682,0.0113747,0.0113254,0.00282445,0.0165228,0.0225326,0.00131476,0.0031038,0.0241442,0.00890342,0.0236532,0.00862301,0.00112545,0.000397245,0.00115745,0.00227073,0.00015727,0.00255816,0.00138508,0.00144968,0.00229894,0.00159231,0.00149785
1227,0.0766461,0.0257105,0.0297556,0.000658267,0.0104607,0.00080657,0.000899033,0.00894737,0.0266646,0.00657552,0.00671014,0.019652,0.0143138,0.00155228,0.000565794,0.000752955,0.00114632,0.00230636,0.00184568,0.00223697,0.00128433,0.000710358,0.0115414,0.0180214,0.00901395,0.019053,0.0164452,0.00367326,0.00189902,0.0314837,0.011523,0.0113751,0.00284333,0.0165309,0.0225227,0.00150125,0.00313384,0.0241403,0.0089616,0.0236276,0.0087082,0.00110523,0.000385114,0.00120764,0.00222268,0.000135332,0.00253413,0.00135525,0.00142996,0.00228089,0.00157397,0.00148142
1228,0.0766935,0.025759,0.0297281,0.000609619,0.0101666,0.000792642,0.000866893,0.00893298,0.0266899,0.00649164,0.00678532,0.0196481,0.0144005,0.00152099,0.00056972,0.00074451,0.00114449,0.00238253,0.00194618,0.00227534,0.00135599,0.000798653,0.0115565,0.0183697,0.00903084,0.0190758,0.0164355,0.00372651,0.00188674,0.0313898,0.0117042,0.0114116,0.00287241,0.0165296,0.0225148,0.00165158,0.00316944,0.0241463,0.00899527,0.0236056,0.00880244,0.00107886,0.0003702,0.00105411,0.00225857,0.000104814,0.00248826,0.00140762,0.00138937,0.00227105,0.00154872,0.00149425
1229,0.0766937,0.0257793,0.0297032,0.000564243,0.0106112,0.000794197,0.000842812,0.008929,0.0266977,0.00644575,0.00685977,0.0196973,0.0144716,0.00147941,0.000562451,0.00073883,0.00115195,0.00245649,0.00203401,0.0023382,0.00140626,0.000795125,0.0115609,0.018412,0.00900818,0.0190915,0.0164338,0.00377488,0.00189054,0.0312611,0.0118779,0.0114614,0.00289672,0.0165337,0.0224984,0.00170935,0.00319669,0.0241614,0.00900525,0.0235871,0.00886644,0.00106435,0.000343144,0.000940624,0.00226106,9.42082e-05,0.0024597,0.0015757,0.0013504,0.00224182,0.00150155,0.00149298
1230,0.0765683,0.0257914,0.0296802,0.00049438,0.0109367,0.000799545,0.000819228,0.00893041,0.0266905,0.00644657,0.00689098,0.0198285,0.0145172,0.00145661,0.000547054,0.000749815,0.00117014,0.00251141,0.00210827,0.00240113,0.00143643,0.000823773,0.0115484,0.0183821,0.00898008,0.0190033,0.0164555,0.00382523,0.00188148,0.0311521,0.012016,0.0114676,0.00293003,0.0165372,0.0224778,0.00164515,0.00319772,0.0241612,0.00899582,0.023569,0.00889241,0.001046,0.000313741,0.000955558,0.00223242,0.000122919,0.00245282,0.00156107,0.00133974,0.00220893,0.00146763,0.00148939
