Timestep,C7,L.ASIS,L.PSIS,L_5meta,L_Shoulder,L_ankle,L_calc,L_elbow_lat,L_elbow_med,L_forearm,L_humerus,L_knee,L_sh2,L_sh3,L_shank_antsup,L_thigh1,L_thigh2,L_thigh3,L_thigh4,L_toe,L_wrist_radius,L_wrist_ulna,R_Shoulder,R_elbow_lat,R_elbow_med,R_forearm,R_humerus,R_wrist_radius,R_wrist_ulna,Sternum,r.ASIS,r.PSIS,r_5meta,r_ankle,r_calc,r_knee,r_sh2,r_sh3,r_sh4,r_shank_antsup,r_thigh1,r_thigh2,r_thigh3,r_thigh4,r_thigh5,r_toe
365,0.0183066,0.0199483,0.0191418,0.0227719,0.0238728,0.0257592,0.0210139,0.0249017,0.026101,0.0180276,0.0216329,0.0170292,0.0278088,0.0358831,0.0149513,0.0431405,0.022521,0.0438745,0.021711,0.0261211,0.0220509,0.0414351,0.0322676,0.00771319,0.0162652,0.025121,0.024042,0.0351368,0.0617313,0.0462593,0.0255043,0.0350827,0.0404257,0.0300267,0.0256191,0.0444656,0.0167672,0.0295086,0.0268365,0.0199657,0.0226775,0.0218281,0.0220818,0.0185834,0.0191771,0.0145085
366,0.0186221,0.0203713,0.0188908,0.0226638,0.0235276,0.0265764,0.0214252,0.025548,0.0258539,0.0183444,0.0218245,0.0188177,0.0279725,0.0398471,0.015243,0.0434298,0.0229456,0.0462053,0.0220519,0.025956,0.0220524,0.0419909,0.0317884,0.00803769,0.0161605,0.0254852,0.0253795,0.0357035,0.0620903,0.0459899,0.0259345,0.0348752,0.0409962,0.0301959,0.0269869,0.0443006,0.0179202,0.0317959,0.0281821,0.0214423,0.0213313,0.0201103,0.0204675,0.0181621,0.0183425,0.0137248
367,0.0186777,0.0209657,0.0184037,0.0227388,0.0231605,0.0271501,0.02146,0.0259597,0.0256361,0.0185571,0.02169,0.0203932,0.026874,0.0429994,0.0147561,0.0424214,0.0232872,0.048573,0.0222591,0.0254996,0.0219218,0.0424118,0.0312954,0.00818143,0.0157976,0.0256285,0.0264739,0.0361141,0.0622587,0.0457529,0.0262419,0.0341924,0.0412423,0.0300955,0.0280917,0.0437455,0.018327,0.0325752,0.0287018,0.0221025,0.0200478,0.0185948,0.0189142,0.0177252,0.0174329,0.0135722
368,0.0185406,0.0215087,0.0179196,0.0227066,0.0228768,0.0272221,0.0209444,0.0261484,0.0255209,0.0186234,0.0212566,0.0215206,0.0249072,0.0451693,0.0138799,0.0399844,0.02219,0.0496698,0.0225054,0.0250514,0.0216131,0.0427223,0.0308017,0.00813675,0.0152372,0.0256619,0.026951,0.0363574,0.0623163,0.0455603,0.026354,0.0333293,0.0412037,0.0296216,0.0288206,0.0429859,0.0180867,0.0324303,0.0283656,0.0221277,0.0186998,0.0173721,0.0175627,0.0172507,0.0164842,0.0139414
369,0.0182131,0.022113,0.0173392,0.0227432,0.0227659,0.026811,0.019983,0.0262504,0.0254146,0.0185474,0.0205141,0.0219473,0.0229121,0.0462574,0.0131594,0.0365831,0.0198257,0.0495049,0.0227804,0.0248563,0.0210915,0.0430495,0.0302682,0.00790561,0.014998,0.0256298,0.0269497,0.0364403,0.0623295,0.0454149,0.0263012,0.0324256,0.0409275,0.0288708,0.0292359,0.0423396,0.0172674,0.0317834,0.0273053,0.0216893,0.0171408,0.0160923,0.0162239,0.0166961,0.0154591,0.0144287
370,0.0176717,0.023385,0.0164269,0.0228235,0.0228763,0.0259074,0.0189273,0.0263159,0.025224,0.0183687,0.0194684,0.0216023,0.0211562,0.0462421,0.012558,0.0333082,0.018215,0.0482376,0.0229307,0.0246776,0.0204923,0.0432866,0.0297497,0.00750537,0.0147289,0.0255562,0.0266392,0.0364244,0.062283,0.0453164,0.0260813,0.031339,0.0405166,0.0280108,0.0298803,0.0418331,0.0159974,0.0308627,0.0257924,0.0209104,0.0154387,0.0146767,0.0148647,0.0157797,0.0142744,0.0148813
371,0.0170962,0.0244479,0.015494,0.0229365,0.0230663,0.0247736,0.0179382,0.0263498,0.0251002,0.0181525,0.0181348,0.0209631,0.0196018,0.0451742,0.0114852,0.0305163,0.0186362,0.0459116,0.0228385,0.0240506,0.0197602,0.0435983,0.0293599,0.00699389,0.0142537,0.0255325,0.0259097,0.0363741,0.0621406,0.0452779,0.0256855,0.0301047,0.0403335,0.0272167,0.0302029,0.0412945,0.0143985,0.0297482,0.023999,0.0200128,0.0137603,0.0131035,0.0136346,0.0143824,0.0129466,0.0155265
372,0.016624,0.025237,0.0143738,0.0233771,0.0230525,0.0236686,0.0172488,0.0262824,0.0249585,0.0178262,0.0166118,0.0206497,0.018263,0.0431639,0.0107298,0.0279104,0.0204036,0.0422696,0.0225065,0.0228987,0.0188814,0.0437865,0.0291841,0.00641786,0.0138383,0.0253095,0.0247608,0.0362348,0.0618988,0.0453406,0.0251109,0.0287683,0.0401658,0.0266892,0.0301768,0.0406571,0.0127306,0.0283433,0.0219868,0.0190749,0.0121897,0.0114105,0.0121046,0.0126255,0.0114348,0.0163193
373,0.0160567,0.0259329,0.0133358,0.0246337,0.0234669,0.0231229,0.0172501,0.0262296,0.0249371,0.0171963,0.0149625,0.0208206,0.0169718,0.0403596,0.0101704,0.0252947,0.0220702,0.0372856,0.0217668,0.0212988,0.01808,0.0438618,0.0292089,0.00577605,0.0134876,0.0247768,0.023314,0.0359484,0.061659,0.0454453,0.0244131,0.0275027,0.0393492,0.0263947,0.0300164,0.0394978,0.0111467,0.0268742,0.0200593,0.0180063,0.0105548,0.00962192,0.0101803,0.0105842,0.00943757,0.0168447
374,0.0154318,0.0265914,0.0124536,0.0262853,0.0241862,0.0237142,0.0181909,0.0261618,0.0248473,0.0161387,0.0132592,0.0209311,0.0155266,0.0369268,0.00943918,0.0228904,0.0225049,0.0316284,0.0202669,0.0195475,0.0174251,0.0438669,0.0294138,0.00517898,0.0132259,0.0240175,0.0216053,0.0356626,0.0614869,0.0455784,0.023556,0.0263848,0.038482,0.0262645,0.0298134,0.0384586,0.00961786,0.0252335,0.0182796,0.0167073,0.00894519,0.00793324,0.0080915,0.00842764,0.00755078,0.0171608
375,0.014705,0.0271824,0.0116809,0.0254201,0.0249743,0.025192,0.0200111,0.0260093,0.0247053,0.0153066,0.0116251,0.0205264,0.0141868,0.0330404,0.00858363,0.020934,0.0213859,0.0261118,0.0178715,0.0181689,0.0167465,0.0439063,0.0298218,0.00482414,0.0129728,0.0231745,0.0196562,0.0354799,0.0612919,0.0457317,0.0225934,0.0253544,0.0377321,0.0262533,0.0295694,0.0377189,0.00818021,0.0231705,0.0164803,0.0152707,0.0073524,0.00645277,0.00602361,0.0064641,0.00587631,0.0172732
376,0.0139976,0.0277743,0.0111173,0.021325,0.0258972,0.0254475,0.0221629,0.0257769,0.0244424,0.0146267,0.0100831,0.0196152,0.013536,0.0289,0.00837308,0.0194438,0.0189907,0.0213468,0.0149524,0.0172652,0.0160817,0.0440622,0.0304047,0.00474896,0.0126873,0.0229145,0.0175843,0.0352483,0.0609006,0.045841,0.0218088,0.024468,0.0369383,0.0262796,0.0293221,0.0370098,0.00678539,0.021139,0.014875,0.0138965,0.00584722,0.00508015,0.00413019,0.00491027,0.00447909,0.0176553
