/forceset/addlong_r/activation	/forceset/recfem_r/activation	/forceset/vaslat_r/activation	/forceset/vasmed_r/activation	/forceset/tibant_r/activation	/forceset/bflh_r/activation	/forceset/semiten_r/activation	/forceset/gaslat_r/activation	/forceset/gasmed_r/activation	/forceset/soleus_r/activation
0.217250	0.822715	0.017656	0.031319	0.905572	0.141253	0.109474	0.024955	0.013182	0.027102
0.226478	0.820159	0.017492	0.031445	0.911593	0.142698	0.109068	0.025298	0.013403	0.027510
0.236134	0.817927	0.017323	0.031568	0.917245	0.144068	0.108532	0.025651	0.013640	0.027965
0.246189	0.815966	0.017148	0.031689	0.922563	0.145352	0.107865	0.026014	0.013891	0.028465
0.256610	0.814216	0.016970	0.031809	0.927586	0.146535	0.107073	0.026384	0.014155	0.029009
0.267364	0.812613	0.016789	0.031929	0.932353	0.147605	0.106162	0.026761	0.014433	0.029597
0.278415	0.811095	0.016606	0.032048	0.936902	0.148554	0.105144	0.027141	0.014723	0.030226
0.289726	0.809610	0.016421	0.032170	0.941268	0.149372	0.104031	0.027524	0.015027	0.030898
0.301257	0.808119	0.016234	0.032292	0.945482	0.150057	0.102838	0.027908	0.015345	0.031612
0.312966	0.806603	0.016047	0.032417	0.949575	0.150606	0.101574	0.028291	0.015678	0.032367
0.324812	0.805051	0.015858	0.032543	0.953575	0.151020	0.100253	0.028670	0.016024	0.033163
0.336749	0.803458	0.015668	0.032670	0.957503	0.151300	0.098883	0.029042	0.016385	0.034001
0.348730	0.801815	0.015476	0.032797	0.961369	0.151451	0.097473	0.029405	0.016761	0.034879
0.360708	0.800114	0.015281	0.032923	0.965177	0.151476	0.096030	0.029755	0.017152	0.035795
0.372631	0.798346	0.015085	0.033045	0.968920	0.151380	0.094563	0.030089	0.017558	0.036749
0.384448	0.796510	0.014885	0.033163	0.972584	0.151165	0.093078	0.030404	0.017980	0.037738
0.396105	0.794602	0.014682	0.033274	0.976150	0.150835	0.091578	0.030696	0.018417	0.038761
0.407543	0.792615	0.014477	0.033375	0.979588	0.150392	0.090069	0.030963	0.018869	0.039815
0.418703	0.790533	0.014269	0.033465	0.982870	0.149843	0.088554	0.031204	0.019336	0.040897
0.429522	0.788330	0.014058	0.033542	0.985966	0.149199	0.087036	0.031417	0.019819	0.042003
0.439933	0.785972	0.013845	0.033607	0.988846	0.148475	0.085516	0.031601	0.020317	0.043131
0.449866	0.783422	0.013632	0.033658	0.991478	0.147691	0.083995	0.031757	0.020831	0.044274
0.459248	0.780648	0.013418	0.033698	0.993827	0.146870	0.082475	0.031882	0.021360	0.045429
0.468000	0.777625	0.013206	0.033726	0.995863	0.146037	0.080955	0.031976	0.021904	0.046590
0.476038	0.774342	0.012996	0.033744	0.997548	0.145217	0.079436	0.032039	0.022465	0.047751
0.483277	0.770795	0.012789	0.033754	0.998839	0.144435	0.077917	0.032073	0.023042	0.048910
0.489637	0.766995	0.012585	0.033754	0.999678	0.143712	0.076399	0.032077	0.023639	0.050060
0.495053	0.762957	0.012385	0.033746	1.000000	0.143069	0.074885	0.032055	0.024256	0.051201
0.499485	0.758700	0.012190	0.033731	0.999728	0.142526	0.073377	0.032008	0.024898	0.052330
0.502919	0.754241	0.012000	0.033708	0.998780	0.142101	0.071878	0.031940	0.025566	0.053445
0.505363	0.749589	0.011816	0.033679	0.997075	0.141808	0.070392	0.031853	0.026266	0.054547
0.506830	0.744746	0.011638	0.033646	0.994547	0.141663	0.068922	0.031750	0.027000	0.055634
0.507333	0.739713	0.011465	0.033610	0.991154	0.141679	0.067473	0.031634	0.027771	0.056705
0.506881	0.734492	0.011299	0.033574	0.986880	0.141865	0.066047	0.031507	0.028584	0.057756
0.505481	0.729092	0.011140	0.033539	0.981727	0.142232	0.064649	0.031369	0.029440	0.058786
0.503138	0.723527	0.010987	0.033506	0.975700	0.142785	0.063279	0.031224	0.030342	0.059793
0.499860	0.717819	0.010840	0.033478	0.968804	0.143531	0.061940	0.031072	0.031294	0.060775
0.495663	0.711990	0.010699	0.033454	0.961047	0.144471	0.060631	0.030916	0.032299	0.061734
0.490568	0.706057	0.010563	0.033435	0.952439	0.145608	0.059354	0.030756	0.033360	0.062671
0.484605	0.700031	0.010433	0.033421	0.943002	0.146940	0.058107	0.030596	0.034482	0.063589
0.477813	0.693912	0.010309	0.033414	0.932766	0.148463	0.056889	0.030436	0.035668	0.064491
0.470241	0.687696	0.010189	0.033412	0.921764	0.150174	0.055699	0.030279	0.036922	0.065382
0.461946	0.681379	0.010076	0.033418	0.910035	0.152065	0.054535	0.030127	0.038249	0.066261
0.452993	0.674968	0.009967	0.033430	0.897622	0.154128	0.053397	0.029980	0.039650	0.067133
0.443451	0.668478	0.009865	0.033452	0.884568	0.156353	0.052283	0.029841	0.041130	0.067997
0.433386	0.661940	0.009769	0.033482	0.870910	0.158727	0.051194	0.029709	0.042689	0.068854
0.422860	0.655385	0.009679	0.033523	0.856685	0.161238	0.050130	0.029585	0.044331	0.069703
0.411932	0.648847	0.009596	0.033574	0.841926	0.163868	0.049092	0.029470	0.046055	0.070545
0.400655	0.642353	0.009520	0.033635	0.826680	0.166603	0.048080	0.029362	0.047862	0.071379
0.389080	0.635926	0.009452	0.033706	0.811012	0.169422	0.047095	0.029263	0.049753	0.072203
0.377255	0.629587	0.009391	0.033787	0.795001	0.172306	0.046140	0.029171	0.051727	0.073017
0.365229	0.623352	0.009337	0.033876	0.778730	0.175231	0.045216	0.029086	0.053782	0.073820
0.353051	0.617233	0.009291	0.033972	0.762286	0.178172	0.044323	0.029009	0.055918	0.074613
0.340770	0.611239	0.009254	0.034074	0.745747	0.181104	0.043462	0.028938	0.058131	0.075394
0.328434	0.605381	0.009225	0.034182	0.729192	0.183999	0.042634	0.028875	0.060422	0.076164
0.316091	0.599665	0.009204	0.034293	0.712691	0.186828	0.041838	0.028817	0.062787	0.076920
0.303786	0.594105	0.009193	0.034408	0.696310	0.189566	0.041076	0.028765	0.065226	0.077661
0.291566	0.588712	0.009191	0.034525	0.680103	0.192186	0.040347	0.028718	0.067738	0.078385
0.279474	0.583506	0.009199	0.034644	0.664119	0.194666	0.039653	0.028674	0.070321	0.079090
0.267551	0.578510	0.009217	0.034764	0.648397	0.196983	0.038993	0.028632	0.072976	0.079777
0.255837	0.573749	0.009245	0.034883	0.632972	0.199121	0.038368	0.028592	0.075702	0.080443
0.244369	0.569248	0.009283	0.035002	0.617873	0.201063	0.037778	0.028551	0.078497	0.081089
0.233185	0.565029	0.009332	0.035119	0.603124	0.202796	0.037224	0.028508	0.081361	0.081715
0.222316	0.561107	0.009391	0.035235	0.588749	0.204308	0.036705	0.028463	0.084290	0.082319
0.211794	0.557494	0.009461	0.035348	0.574767	0.205590	0.036221	0.028412	0.087282	0.082902
0.201646	0.554199	0.009542	0.035459	0.561193	0.206629	0.035772	0.028355	0.090330	0.083462
0.191899	0.551224	0.009634	0.035566	0.548041	0.207414	0.035357	0.028292	0.093429	0.083998
0.182575	0.548565	0.009738	0.035668	0.535315	0.207929	0.034975	0.028220	0.096573	0.084506
0.173695	0.546219	0.009853	0.035763	0.523015	0.208162	0.034624	0.028139	0.099752	0.084984
0.165276	0.544182	0.009981	0.035851	0.511134	0.208101	0.034306	0.028048	0.102960	0.085427
0.157334	0.542443	0.010121	0.035930	0.499658	0.207737	0.034019	0.027946	0.106187	0.085829
0.149882	0.540990	0.010276	0.035998	0.488568	0.207068	0.033765	0.027833	0.109424	0.086185
0.142930	0.539808	0.010445	0.036055	0.477841	0.206096	0.033545	0.027707	0.112662	0.086489
0.136486	0.538883	0.010631	0.036101	0.467450	0.204831	0.033360	0.027567	0.115894	0.086738
0.130558	0.538200	0.010835	0.036135	0.457367	0.203284	0.033211	0.027412	0.119113	0.086925
0.125151	0.537747	0.011058	0.036158	0.447564	0.201469	0.033098	0.027239	0.122312	0.087050
0.120267	0.537515	0.011300	0.036172	0.438015	0.199403	0.033023	0.027049	0.125489	0.087108
0.115909	0.537490	0.011564	0.036176	0.428702	0.197099	0.032985	0.026839	0.128641	0.087101
0.112075	0.537662	0.011850	0.036173	0.419614	0.194572	0.032984	0.026609	0.131766	0.087028
0.108763	0.538019	0.012158	0.036164	0.410746	0.191834	0.033020	0.026360	0.134863	0.086890
0.105970	0.538554	0.012490	0.036150	0.402099	0.188898	0.033091	0.026091	0.137930	0.086688
0.103691	0.539262	0.012846	0.036134	0.393676	0.185775	0.033198	0.025802	0.140967	0.086424
0.101917	0.540134	0.013227	0.036117	0.385483	0.182473	0.033339	0.025496	0.143971	0.086100
0.100641	0.541156	0.013633	0.036099	0.377528	0.179001	0.033514	0.025172	0.146939	0.085715
0.099852	0.542314	0.014066	0.036083	0.369814	0.175366	0.033722	0.024833	0.149867	0.085269
0.099538	0.543585	0.014526	0.036068	0.362347	0.171573	0.033963	0.024480	0.152748	0.084761
0.099687	0.544945	0.015015	0.036055	0.355135	0.167630	0.034236	0.024113	0.155573	0.084190
0.100284	0.546370	0.015534	0.036043	0.348193	0.163544	0.034541	0.023736	0.158334	0.083554
0.101315	0.547834	0.016085	0.036033	0.341537	0.159325	0.034878	0.023348	0.161019	0.082855
0.102761	0.549308	0.016670	0.036024	0.335184	0.154986	0.035247	0.022951	0.163619	0.082092
0.104606	0.550763	0.017290	0.036017	0.329148	0.150542	0.035646	0.022546	0.166124	0.081268
0.106829	0.552174	0.017947	0.036016	0.323441	0.146011	0.036076	0.022133	0.168524	0.080388
0.109409	0.553519	0.018642	0.036021	0.318077	0.141411	0.036537	0.021714	0.170811	0.079455
0.112324	0.554788	0.019378	0.036038	0.313064	0.136763	0.037028	0.021290	0.172979	0.078476
0.115550	0.555979	0.020154	0.036071	0.308410	0.132090	0.037550	0.020862	0.175020	0.077458
0.119062	0.557094	0.020972	0.036126	0.304120	0.127411	0.038102	0.020430	0.176931	0.076407
0.122835	0.558137	0.021832	0.036208	0.300199	0.122748	0.038687	0.019996	0.178710	0.075331
0.126843	0.559107	0.022735	0.036323	0.296654	0.118121	0.039303	0.019561	0.180354	0.074238
0.131058	0.560000	0.023682	0.036475	0.293492	0.113548	0.039950	0.019125	0.181865	0.073135
0.135454	0.560812	0.024672	0.036669	0.290716	0.109046	0.040629	0.018689	0.183245	0.072027
0.140004	0.561537	0.025707	0.036910	0.288330	0.104630	0.041338	0.018254	0.184494	0.070920
0.144681	0.562171	0.026788	0.037204	0.286331	0.100316	0.042077	0.017820	0.185617	0.069818
0.149460	0.562705	0.027916	0.037555	0.284715	0.096117	0.042846	0.017389	0.186617	0.068727
0.154315	0.563132	0.029091	0.037971	0.283477	0.092046	0.043645	0.016961	0.187495	0.067649
0.159224	0.563439	0.030317	0.038459	0.282607	0.088118	0.044473	0.016538	0.188253	0.066589
0.164165	0.563610	0.031592	0.039025	0.282096	0.084344	0.045331	0.016120	0.188890	0.065547
0.169118	0.563632	0.032920	0.039679	0.281935	0.080738	0.046221	0.015708	0.189403	0.064527
0.174062	0.563495	0.034298	0.040430	0.282116	0.077312	0.047144	0.015304	0.189788	0.063527
0.178977	0.563193	0.035729	0.041285	0.282626	0.074081	0.048103	0.014907	0.190037	0.062549
0.183842	0.562723	0.037210	0.042253	0.283454	0.071055	0.049099	0.014519	0.190144	0.061590
0.188633	0.562087	0.038743	0.043344	0.284582	0.068248	0.050137	0.014140	0.190103	0.060651
0.193327	0.561287	0.040325	0.044565	0.285990	0.065671	0.051220	0.013770	0.189908	0.059731
0.197899	0.560322	0.041957	0.045925	0.287652	0.063336	0.052352	0.013411	0.189553	0.058828
0.202323	0.559188	0.043636	0.047432	0.289542	0.061253	0.053535	0.013061	0.189035	0.057941
0.206575	0.557883	0.045363	0.049095	0.291624	0.059432	0.054773	0.012722	0.188353	0.057070
0.210628	0.556405	0.047135	0.050922	0.293863	0.057883	0.056069	0.012393	0.187506	0.056215
0.214453	0.554759	0.048950	0.052921	0.296215	0.056614	0.057425	0.012073	0.186497	0.055374
0.218022	0.552954	0.050805	0.055098	0.298635	0.055634	0.058841	0.011763	0.185330	0.054548
0.221303	0.551003	0.052698	0.057459	0.301073	0.054950	0.060318	0.011462	0.184010	0.053737
0.224270	0.548919	0.054626	0.060010	0.303473	0.054571	0.061858	0.011169	0.182543	0.052940
0.226900	0.546713	0.056586	0.062756	0.305781	0.054503	0.063461	0.010885	0.180939	0.052159
0.229173	0.544394	0.058575	0.065700	0.307939	0.054751	0.065127	0.010608	0.179206	0.051393
0.231078	0.541965	0.060592	0.068844	0.309890	0.055321	0.066860	0.010339	0.177354	0.050643
0.232608	0.539425	0.062633	0.072192	0.311575	0.056216	0.068662	0.010078	0.175392	0.049908
0.233765	0.536773	0.064695	0.075745	0.312936	0.057441	0.070535	0.009823	0.173330	0.049189
0.234552	0.534011	0.066775	0.079504	0.313913	0.058998	0.072485	0.009577	0.171175	0.048482
0.234978	0.531146	0.068869	0.083469	0.314450	0.060889	0.074517	0.009338	0.168933	0.047787
0.235053	0.528191	0.070972	0.087640	0.314502	0.063116	0.076634	0.009106	0.166607	0.047101
0.234786	0.525160	0.073081	0.092017	0.314039	0.065679	0.078844	0.008882	0.164200	0.046421
0.234183	0.522068	0.075192	0.096596	0.313045	0.068578	0.081151	0.008665	0.161711	0.045742
0.233251	0.518926	0.077300	0.101373	0.311511	0.071811	0.083561	0.008456	0.159142	0.045061
0.231992	0.515744	0.079404	0.106346	0.309439	0.075377	0.086077	0.008253	0.156492	0.044375
0.230410	0.512535	0.081498	0.111508	0.306843	0.079272	0.088703	0.008057	0.153760	0.043681
0.228510	0.509312	0.083582	0.116854	0.303751	0.083491	0.091442	0.007866	0.150949	0.042976
0.226297	0.506091	0.085654	0.122376	0.300206	0.088030	0.094293	0.007681	0.148059	0.042261
0.223782	0.502884	0.087713	0.128066	0.296254	0.092882	0.097258	0.007501	0.145094	0.041534
0.220977	0.499698	0.089760	0.133914	0.291940	0.098039	0.100336	0.007325	0.142058	0.040797
0.217898	0.496538	0.091795	0.139911	0.287311	0.103492	0.103527	0.007153	0.138957	0.040051
0.214565	0.493403	0.093816	0.146045	0.282409	0.109232	0.106831	0.006985	0.135797	0.039299
0.210999	0.490289	0.095821	0.152306	0.277277	0.115248	0.110248	0.006821	0.132586	0.038542
0.207224	0.487186	0.097810	0.158678	0.271959	0.121529	0.113776	0.006662	0.129334	0.037783
0.203267	0.484083	0.099780	0.165148	0.266497	0.128063	0.117416	0.006507	0.126050	0.037022
0.199151	0.480959	0.101731	0.171697	0.260935	0.134836	0.121166	0.006357	0.122744	0.036262
0.194904	0.477796	0.103662	0.178306	0.255314	0.141836	0.125027	0.006212	0.119427	0.035502
0.190551	0.474571	0.105573	0.184953	0.249672	0.149047	0.128996	0.006073	0.116109	0.034745
0.186117	0.471269	0.107461	0.191614	0.244047	0.156456	0.133074	0.005939	0.112799	0.033992
0.181622	0.467877	0.109324	0.198266	0.238473	0.164048	0.137258	0.005812	0.109505	0.033242
0.177087	0.464387	0.111161	0.204888	0.232982	0.171804	0.141547	0.005692	0.106236	0.032498
0.172529	0.460795	0.112973	0.211462	0.227605	0.179709	0.145941	0.005578	0.102996	0.031760
0.167964	0.457097	0.114762	0.217978	0.222365	0.187743	0.150435	0.005471	0.099792	0.031029
0.163405	0.453287	0.116530	0.224427	0.217287	0.195883	0.155028	0.005372	0.096626	0.030305
0.158864	0.449355	0.118279	0.230804	0.212391	0.204107	0.159712	0.005280	0.093500	0.029589
0.154351	0.445291	0.120012	0.237102	0.207693	0.212389	0.164481	0.005196	0.090416	0.028881
0.149873	0.441083	0.121730	0.243312	0.203206	0.220704	0.169323	0.005119	0.087375	0.028182
0.145437	0.436721	0.123437	0.249427	0.198941	0.229029	0.174228	0.005050	0.084377	0.027494
0.141047	0.432199	0.125137	0.255443	0.194906	0.237341	0.179181	0.004989	0.081422	0.026816
0.136710	0.427515	0.126831	0.261356	0.191105	0.245616	0.184169	0.004936	0.078511	0.026149
0.132429	0.422672	0.128524	0.267168	0.187540	0.253831	0.189176	0.004890	0.075645	0.025494
0.128209	0.417679	0.130217	0.272884	0.184208	0.261957	0.194192	0.004853	0.072825	0.024852
0.124055	0.412553	0.131911	0.278513	0.181108	0.269966	0.199205	0.004824	0.070052	0.024224
